Technology,Typical processing times,Typical reaction temperature (°C),Major products,Total capital cost (10³ U.S. $/kW)
Athabasca bitumen,Temperature: 700 °C; Pressure: 23 MPa; Reaction time: 60 min; Feed concentration: 20 wt%,"• Maximum H₂ yield was 2.26 mmol/g without catalyst.
• H₂ yield increased up to 3.57 mmol/g using 5 wt% ZnCl₂ catalyst.
• Maximum total gas yield was 4.68 mmol/g without a catalyst. Catalyst performance for H₂ production was in the order of ZnCl₂ > FeCl₃ > Ru/Al₂O₃ > Ni/Si–Al₂O₃.",Rana et al. [60],
Beet-based distillery waste water,Temperature: 375 °C; Reaction time: 45 min; Feed concentration: 30 wt%,"• Temperature and biomass loading were the most important parameters affecting gas yields.
• Increase in temperature near-critical water increased H₂ selectivity and gasification efficiency.
• Biomass loading had an insignificant effect on the gas composition.",Seif et al. [64],
Bituminous coal,Temperature: 750 °C; Pressure: 30 MPa; Feed concentration: 10 min,"• High temperature enhanced total gases and H₂ yields.
• Gasification reactivity decreased with the rise in feedstock concentration due to charcoal accumulation.
• Activation energy and pre-exponential factor determined were 59.47 ± 4.87 kJ/mol and 43.89 ± 1.82 min⁻¹, respectively.
• Maximum H₂ yield was 40.80 mol/kg.",Lan et al. [58],
Chicken manure,Temperature: 600 °C; Pressure: 30 MPa; Feed concentration: 9 wt%,"• The use of activated carbon increased the gas and H₂ yields and found to remove inorganic species present in chicken manure.
• Optimum H₂ yield was 25.2 mol/kg.",Cao et al. [50],
Chicken manure and cattle manure,Temperature: 400 °C; Reaction time: 40 min,"• Cattle manure and horse manure proved to be good feedstocks for H₂ production via SCWG.
• The total toxic equivalent of dioxins produced during the SCWG of cattle and horse manure were observed to be lower than the minimum expected level.",Bircan et al. [58],
Domestic wastewater,Temperature: 500 °C; Pressure: 25 MPa; Reaction time: 5–60 min,"• Carbon gasification efficiency of 100% was achieved.
• Subcritical water liquefaction pretreatment of sewage sludge was found to improve H₂ and CH₄ yields while suppressing CO₂ production.
• H₂ efficiency rose to 88% with subcritical water.",Sawai et al. [65],
Fulvic acid (sewage sludge model compound),Temperature: 600 °C; Pressure: 25 MPa; Reaction time: 420 s; Feed concentration: 1 wt%,"• About 98% total organic removal efficiency was achieved during the SCW oxidation of fulvic acid.
• Possible intermediate products included phenols, benzene and naphthalene.
• The degradation of fulvic acid was positively influenced by the oxidation coefficient.",Gong et al. [2014],
Glycerol and methanol mixture,Temperature: 600 °C; Pressure: 23 MPa; Reaction time: 45 s; Glycerol-to-methanol ratio: 1:1,"• The maximum gas yield obtained without a catalyst was 1.06 mmol/g.
• In terms of H₂ production, catalyst performance was in the order of K₂CO₃ > NaOH > KOH > Na₂CO₃.
• In the absence of a catalyst, SCWG of glycerol approached 75% of equilibrium and above 95% with a catalyst.",Reddy et al. [66],
Horse manure,Temperature: 600 °C; Pressure: 23–25 MPa; Reaction time: 45 min; Biomass-to-water ratio: 1:10,"• Catalyst effectiveness was in the order of NaOH < K₂CO₃ < Na₂CO₃.
• Maximum H₂ yield was 5.31 mmol/g using 2 wt% Na₂CO₃ catalyst.
• Total gas yield increased from 9.9 to 20.8 mmol/g with the use of Na₂CO₃ catalyst.",Nanda et al. [51],
Humic acid,Temperature: 600 °C; Pressure: 24 MPa; Reaction time: 75 min; Feed concentration: 15 wt%,"• H₂ yield was dependent on temperature, reaction time, feed concentration and catalyst.
• Maximum H₂ yield of 0.79 mol/kg was obtained without catalyst.
• H₂ and total gas yields increased progressively with higher FeCl₃ catalyst loading.
• 15 wt% FeCl₃ increased H₂ yield to 4.09 mol/kg.",Gong et al. [67],
Isooctane,Temperature: 637 °C; Reaction time: 18 s; Feed concentration: 9.9 wt%,"• High H₂ yield of 6.13 mol/mol was obtained by using 2701.1 mmol/L of H₂O₂.
• Reaction mechanism for SCWG of isooctane was proposed.",Susanti et al. [63],
n-Decane,Temperature: 550 °C; Pressure: 25 MPa,"• n-Decane produced H₂-rich gas.
• Coke formation was inhibited at low temperature and the use of four different commercial catalyst (NiO, MgO, SiO₂ and Al₂O₃).
• 3.8 mmol/g of H₂ was produced from n-Decane.",Pinkwart et al. [62],
Oily wastewater,Temperature: 650 °C; Pressure: 30 MPa; Reaction time: 220 s,"• Change in pressure did not affect the gasification efficiency.
• KOH increased the gas yields and gasification efficiency.
• Increase in temperature decreased H₂ molar fraction because of enhanced methanation reaction.",Zhiyong and Xiuyi [68],
Olive mill wastewater,Temperature: 550 °C; Pressure: 25 MPa; Reaction time: 30 s,"• The optimal gas yield was 7.71 mL/mL.
• Gas product contained 9.23% H₂, 49.34% CO₂, 34.84% CH₄, 4.04% C₂H₆, 0.84% C₂H₄, 0.83% C₃H₈ and other C₁–C₄ hydrocarbons.",Kıpçak et al. [69],
Sewage sludge,Temperature: 650 °C; Pressure: 30 MPa; Feed concentration: 2 wt%,"• SCWG of sewage sludge was greatly enhanced by high temperature and low feed concentration.
• Catalytic activity was in the order of KOH > K₂CO₃ > NaOH > Na₂CO₃.
• Optimum H₂ yield was 15.49 mol/kg.",Chen et al. [52],
